bb_period,bb_std_dev,take_profit_pct,stop_loss_pct,min_rr,use_adx_filter,adx_threshold,use_ema_filter,ema_period,total_trades,win_rate,profit_factor,total_return_pct,max_drawdown_pct,calmar_ratio,max_consec_losses,avg_bars_held
10,3.0,30,5,2.0,False,20,False,50,11,36.4,3.429,99.45,18.55,5.361,4,45.7
10,3.0,20,5,2.0,False,20,False,50,11,36.4,2.286,44.81,18.55,2.416,4,25.1
10,1.0,20,10,1.5,False,20,False,50,10,50.0,2.0,46.93,34.39,1.365,4,24.4
20,2.0,30,10,2.0,False,20,False,50,31,35.5,1.65,117.88,61.26,1.924,9,46.6
10,1.0,30,10,1.5,False,20,False,50,9,33.3,1.5,16.76,34.39,0.487,4,41.9
10,2.0,30,5,1.5,False,20,False,50,98,19.4,1.443,154.15,66.87,2.305,17,31.8
10,2.0,30,10,1.5,False,20,False,50,19,31.6,1.385,22.69,68.62,0.331,11,57.2
20,1.5,20,15,2.0,False,20,False,50,8,50.0,1.333,8.24,38.59,0.214,3,36.9
20,1.5,30,10,2.0,False,20,False,50,30,30.0,1.286,16.03,47.19,0.34,5,52.2
20,2.0,20,10,2.0,False,20,False,50,31,38.7,1.263,20.44,61.26,0.334,9,37.4
20,2.0,30,15,1.5,False,20,False,50,21,38.1,1.231,-1.37,62.29,-0.022,6,67.4
20,1.0,30,10,1.5,False,20,False,50,38,28.9,1.222,4.21,65.13,0.065,10,45.0
10,1.5,30,5,1.5,False,20,False,50,102,16.7,1.2,10.55,77.89,0.135,18,29.6
20,1.5,30,15,2.0,False,20,False,50,8,37.5,1.2,-2.52,38.59,-0.065,3,62.4
20,1.0,20,10,1.5,False,20,False,50,40,37.5,1.2,10.61,65.13,0.163,10,35.0
20,1.5,20,10,2.0,False,20,False,50,32,37.5,1.2,8.4,53.51,0.157,6,33.7
10,1.5,30,10,1.5,False,20,False,50,21,28.6,1.2,-0.62,61.34,-0.01,7,52.4
10,3.0,20,5,1.5,False,20,False,50,35,22.9,1.185,7.64,36.98,0.207,9,31.9
10,2.0,20,5,1.5,False,20,False,50,119,22.7,1.174,22.59,66.53,0.34,17,22.7
10,2.0,20,10,1.5,False,20,False,50,19,36.8,1.167,1.2,58.16,0.021,6,45.7
30,1.5,20,15,2.0,False,20,False,50,13,46.2,1.143,-4.28,38.59,-0.111,3,34.8
30,1.5,20,10,2.0,False,20,False,50,53,35.8,1.118,-11.14,74.06,-0.15,7,40.9
10,1.5,20,5,1.5,False,20,False,50,119,21.8,1.118,-2.95,74.41,-0.04,14,22.5
30,2.0,20,10,2.0,False,20,False,50,59,35.6,1.105,-16.05,68.5,-0.234,10,39.2
30,1.5,20,10,1.5,False,20,False,50,80,35.0,1.077,-31.18,66.66,-0.468,8,48.2
10,1.5,20,10,1.5,False,20,False,50,23,34.8,1.067,-11.47,53.51,-0.214,7,37.1
10,2.0,30,5,3.0,False,20,False,50,20,15.0,1.059,-8.14,51.23,-0.159,14,24.3
30,1.5,30,5,1.5,False,20,False,50,161,14.9,1.051,-51.83,90.59,-0.572,25,39.0
30,1.0,20,10,1.5,False,20,False,50,67,34.3,1.045,-35.76,75.2,-0.475,9,44.0
30,3.0,20,15,1.5,False,20,False,50,16,43.8,1.037,-17.01,54.74,-0.311,4,26.4
10,3.0,30,5,1.5,False,20,False,50,34,14.7,1.034,-16.11,39.42,-0.409,9,40.2
30,1.5,30,10,2.0,False,20,False,50,47,25.5,1.029,-41.68,73.46,-0.567,8,59.4
20,1.5,30,10,1.5,False,20,False,50,51,25.5,1.026,-44.73,83.43,-0.536,8,50.6
30,1.0,30,10,1.5,False,20,False,50,60,25.0,1.0,-55.33,82.55,-0.67,9,59.6
20,1.5,20,10,3.0,False,20,False,50,9,33.3,1.0,-8.17,40.95,-0.199,5,17.1
20,1.5,20,10,1.5,False,20,False,50,57,33.3,1.0,-41.7,67.98,-0.613,8,38.6
10,2.0,20,5,3.0,False,20,False,50,20,20.0,1.0,-8.74,38.4,-0.227,7,16.1
30,2.0,20,5,1.5,False,20,False,50,170,20.0,1.0,-54.02,86.86,-0.622,26,26.2
30,2.0,30,15,2.0,False,20,False,50,18,33.3,1.0,-31.34,59.37,-0.528,5,109.9
30,1.0,30,15,1.5,False,20,False,50,18,33.3,1.0,-31.34,59.37,-0.528,5,78.0
20,2.0,30,10,3.0,False,20,False,50,8,25.0,1.0,-10.19,34.39,-0.296,4,37.8
20,2.0,20,10,3.0,False,20,False,50,9,33.3,1.0,-8.17,34.39,-0.237,4,19.4
30,1.5,20,5,2.0,False,20,False,50,173,19.7,0.978,-60.58,86.48,-0.7,16,25.8
30,1.5,20,5,3.0,False,20,False,50,102,19.6,0.976,-42.86,70.64,-0.607,21,22.9
30,2.0,20,15,2.0,False,20,False,50,19,42.1,0.97,-28.05,54.74,-0.512,4,80.1
10,1.0,20,5,1.5,False,20,False,50,72,19.4,0.966,-34.46,76.36,-0.451,23,21.3
30,1.5,30,15,1.5,False,20,False,50,31,32.3,0.952,-54.58,84.1,-0.649,7,103.0
20,1.0,20,15,1.5,False,20,False,50,12,41.7,0.952,-20.23,27.75,-0.729,2,39.3
30,1.5,30,10,1.5,False,20,False,50,67,23.9,0.941,-69.14,85.86,-0.805,11,63.9
20,1.5,30,5,1.5,False,20,False,50,148,13.5,0.938,-73.24,93.35,-0.785,24,32.1
30,1.5,20,15,1.5,False,20,False,50,34,41.2,0.933,-50.24,76.93,-0.653,5,66.1
30,2.0,30,10,2.0,False,20,False,50,55,23.6,0.929,-63.74,85.83,-0.743,13,53.7
30,1.0,20,15,1.5,False,20,False,50,22,40.9,0.923,-37.62,58.36,-0.645,3,46.4
30,2.0,30,5,1.5,False,20,False,50,150,13.3,0.923,-75.85,91.59,-0.828,26,34.9
20,1.0,20,5,2.0,False,20,False,50,103,18.4,0.905,-57.02,79.86,-0.714,18,17.8
20,2.0,20,5,1.5,False,20,False,50,168,18.5,0.905,-74.72,92.94,-0.804,22,24.1
20,3.0,20,5,1.5,False,20,False,50,76,18.4,0.903,-46.62,70.64,-0.66,12,37.5
30,2.0,20,5,2.0,False,20,False,50,159,18.2,0.892,-74.86,87.6,-0.855,22,27.1
30,3.0,20,10,2.0,False,20,False,50,26,30.8,0.889,-35.46,46.86,-0.757,6,27.9
30,2.0,30,10,1.5,False,20,False,50,70,22.9,0.889,-77.5,89.76,-0.863,11,62.5
30,1.5,20,5,1.5,False,20,False,50,199,18.1,0.883,-83.42,90.19,-0.925,24,27.2
20,3.0,30,5,2.0,False,20,False,50,47,12.8,0.878,-41.07,52.28,-0.786,12,47.2
20,2.0,30,5,1.5,False,20,False,50,149,12.8,0.877,-81.42,91.74,-0.888,22,32.7
